1.666667e-02 2.397024e-03 -8.299215e-04
5.000000e-02 7.144244e-03 -1.732808e-02
8.333333e-02 9.506473e-03 -3.112757e-02
1.166667e-01 1.042993e-02 -3.828318e-02
1.500000e-01 1.086386e-02 -3.902465e-02
1.833333e-01 1.128240e-02 -3.502245e-02
2.166667e-01 1.184432e-02 -2.823147e-02
2.500000e-01 1.257437e-02 -2.035274e-02
2.833333e-01 1.346085e-02 -1.262114e-02
3.166667e-01 1.448962e-02 -5.781642e-03
3.500000e-01 1.564817e-02 -1.635265e-04
3.833333e-01 1.692431e-02 4.185217e-03
4.166667e-01 1.829774e-02 7.421755e-03
4.500000e-01 1.973451e-02 9.803153e-03
4.833333e-01 2.118820e-02 1.157021e-02
5.166667e-01 2.259176e-02 1.291030e-02
5.500000e-01 2.385161e-02 1.391754e-02
5.833333e-01 2.484629e-02 1.457942e-02
6.166667e-01 2.543146e-02 1.481141e-02
6.500000e-01 2.545250e-02 1.452084e-02
6.833333e-01 2.476564e-02 1.368726e-02
7.166667e-01 2.327292e-02 1.243328e-02
7.500000e-01 2.096673e-02 1.108238e-02
7.833333e-01 1.794624e-02 1.018496e-02
8.166667e-01 1.433571e-02 1.039633e-02
8.500000e-01 9.574899e-03 1.216389e-02
8.833333e-01 -1.235461e-03 1.514500e-02
9.166667e-01 -3.778617e-02 1.751876e-02
9.500000e-01 -1.337821e-01 1.582442e-02
9.833333e-01 -2.560181e-01 6.610251e-03
